layer,head,a_电脑,a_纸箱,b_电脑,b_纸箱,a_margin_c1_minus_c2,b_margin_c1_minus_c2,delta_margin
4,24,0.98046875,0.003326416015625,0.9765625,0.002716064453125,0.977142333984375,0.973846435546875,-0.0032958984375
4,25,0.52734375,0.0419921875,0.478515625,0.049072265625,0.4853515625,0.429443359375,-0.055908203125
4,26,0.98828125,0.00069427490234375,0.984375,0.00125885009765625,0.9875869750976562,0.9831161499023438,-0.0044708251953125
4,27,0.7890625,0.00244140625,0.8125,0.002227783203125,0.78662109375,0.810272216796875,0.023651123046875
5,0,0.74609375,0.0184326171875,0.828125,0.01611328125,0.7276611328125,0.81201171875,0.0843505859375
5,1,0.435546875,0.08740234375,0.578125,0.0771484375,0.34814453125,0.5009765625,0.15283203125
5,2,0.462890625,0.005706787109375,0.4921875,0.005584716796875,0.457183837890625,0.486602783203125,0.0294189453125
5,3,0.67578125,0.018310546875,0.62109375,0.0196533203125,0.657470703125,0.6014404296875,-0.0560302734375
5,4,0.734375,0.1005859375,0.66796875,0.142578125,0.6337890625,0.525390625,-0.1083984375
5,5,0.9296875,0.00157928466796875,0.95703125,0.001434326171875,0.9281082153320312,0.955596923828125,0.02748870849609375
5,6,0.96484375,0.00286865234375,0.9375,0.005035400390625,0.96197509765625,0.932464599609375,-0.029510498046875
5,7,0.86328125,0.022216796875,0.8046875,0.0223388671875,0.841064453125,0.7823486328125,-0.0587158203125
5,8,0.90625,0.0111083984375,0.90234375,0.01318359375,0.8951416015625,0.88916015625,-0.0059814453125
5,9,0.640625,0.091796875,0.6015625,0.10546875,0.548828125,0.49609375,-0.052734375
5,10,0.88671875,0.030029296875,0.92578125,0.021240234375,0.856689453125,0.904541015625,0.0478515625
5,11,0.95703125,0.0125732421875,0.96875,0.0084228515625,0.9444580078125,0.9603271484375,0.015869140625
5,12,0.6015625,0.0869140625,0.70703125,0.064453125,0.5146484375,0.642578125,0.1279296875
5,13,0.90625,0.009521484375,0.9140625,0.00970458984375,0.896728515625,0.90435791015625,0.00762939453125
5,14,0.890625,0.00531005859375,0.890625,0.00390625,0.88531494140625,0.88671875,0.00140380859375
5,15,0.98828125,0.0062255859375,0.984375,0.00543212890625,0.9820556640625,0.97894287109375,-0.00311279296875
5,16,0.8359375,0.00341796875,0.76953125,0.00433349609375,0.83251953125,0.76519775390625,-0.06732177734375
5,17,0.93359375,0.0089111328125,0.92578125,0.0072021484375,0.9246826171875,0.9185791015625,-0.006103515625
5,18,0.984375,0.00836181640625,0.9765625,0.01068115234375,0.97601318359375,0.96588134765625,-0.0101318359375
